0.8829501,58.0,47.0,-13.0,3.0,14.0,8.0
0.8955965,58.0,47.0,-13.0,3.0,14.0,8.0
0.9055965,62.0,49.0,-9.0,3.0,17.0,10.0
0.9155965,62.0,49.0,-9.0,3.0,17.0,10.0
0.9230144,62.0,49.0,-9.0,3.0,17.0,10.0
0.9330144,63.0,51.0,-3.0,3.0,21.0,15.0
0.9430144,63.0,51.0,-3.0,3.0,21.0,15.0
0.9530144,63.0,51.0,-3.0,3.0,21.0,15.0
0.9630144,63.0,51.0,-3.0,3.0,21.0,15.0
0.9730144,63.0,51.0,-3.0,3.0,21.0,15.0
0.98675644,63.0,51.0,-3.0,3.0,21.0,15.0
1.0034947,62.0,49.0,-1.0,3.0,20.0,10.0
1.0134947,62.0,49.0,-2.0,3.0,19.0,7.0
1.0234948,62.0,49.0,-2.0,3.0,19.0,7.0
1.0334948,62.0,49.0,-2.0,3.0,19.0,7.0
1.0425133,62.0,49.0,-2.0,3.0,19.0,7.0
1.055498,59.0,51.0,-2.0,-2.0,20.0,4.0
1.0628228,58.0,51.0,-2.0,-2.0,19.0,6.0
1.072097,60.0,51.0,-2.0,-2.0,19.0,6.0
1.0820969,59.0,54.0,-1.0,-1.0,22.0,5.0
1.0925024,59.0,54.0,-1.0,-1.0,22.0,5.0
1.1073496,58.0,53.0,-1.0,-1.0,20.0,5.0
1.1123074,58.0,54.0,1.0,-1.0,20.0,6.0
1.1223074,59.0,52.0,-2.0,-1.0,18.0,3.0
1.1324276,59.0,52.0,-2.0,-1.0,18.0,3.0
1.1424276,57.0,57.0,2.0,-2.0,22.0,7.0
1.1505876,57.0,57.0,2.0,-2.0,22.0,7.0
1.1605875,57.0,53.0,-1.0,-2.0,18.0,4.0
1.1715709,57.0,53.0,-1.0,-2.0,18.0,4.0
1.1863897,57.0,55.0,-1.0,-1.0,19.0,4.0
1.1913534,57.0,56.0,-1.0,-1.0,20.0,4.0
1.2013534,57.0,52.0,-1.0,-1.0,16.0,4.0
1.2114542,57.0,52.0,-1.0,-1.0,16.0,4.0
1.2214543,56.0,56.0,1.0,-1.0,20.0,6.0
1.2296584,56.0,56.0,1.0,-1.0,20.0,6.0
1.2396584,58.0,52.0,-4.0,-1.0,17.0,1.0
1.2505662,58.0,52.0,-4.0,-1.0,17.0,1.0
1.2655462,56.0,53.0,-1.0,-1.0,18.0,4.0
1.2704376,57.0,52.0,-2.0,-1.0,17.0,4.0
1.2804376,56.0,50.0,-8.0,-1.0,16.0,-1.0
1.290709,56.0,50.0,-8.0,-1.0,16.0,-1.0
1.300709,54.0,52.0,-6.0,-3.0,19.0,2.0
1.3089963,54.0,52.0,-6.0,-3.0,19.0,2.0
1.3189963,56.0,45.0,-10.0,-3.0,13.0,2.0
1.3300697,56.0,45.0,-10.0,-3.0,13.0,2.0
1.3400697,52.0,49.0,-20.0,-3.0,18.0,-8.0
1.3500696,52.0,49.0,-20.0,-3.0,18.0,-8.0
1.3600696,52.0,49.0,-20.0,-3.0,18.0,-8.0
1.371918,52.0,49.0,-20.0,-3.0,18.0,-8.0
1.3793424,49.0,53.0,-16.0,-4.0,23.0,2.0
1.3893424,48.0,53.0,-22.0,-5.0,23.0,-1.0
1.3993424,48.0,53.0,-22.0,-5.0,23.0,-1.0
1.4100302,48.0,53.0,-22.0,-5.0,23.0,-1.0
1.4236537,42.0,58.0,-18.0,-9.0,26.0,4.0
1.438464,42.0,60.0,-18.0,-8.0,27.0,5.0
1.448464,34.0,65.0,-19.0,-12.0,29.0,4.0
1.458464,34.0,65.0,-19.0,-12.0,29.0,4.0
1.468464,34.0,65.0,-19.0,-12.0,29.0,4.0
1.4834577,34.0,65.0,-19.0,-12.0,29.0,4.0
1.4934577,32.0,69.0,-19.0,-8.0,26.0,3.0
1.5034577,32.0,69.0,-19.0,-8.0,26.0,3.0
1.5119634,32.0,69.0,-19.0,-8.0,26.0,3.0
1.528156,25.0,70.0,-18.0,-9.0,22.0,4.0
1.538156,21.0,69.0,-21.0,-10.0,19.0,1.0
1.548156,21.0,69.0,-21.0,-10.0,19.0,1.0
1.5558943,21.0,69.0,-21.0,-10.0,19.0,1.0
1.5658942,18.0,67.0,-25.0,-8.0,16.0,-1.0
1.5758942,18.0,67.0,-25.0,-8.0,16.0,-1.0
1.5858942,18.0,67.0,-25.0,-8.0,16.0,-1.0
1.5958942,18.0,67.0,-25.0,-8.0,16.0,-1.0
1.6058943,18.0,67.0,-25.0,-8.0,16.0,-1.0
1.6196183,18.0,67.0,-25.0,-8.0,16.0,-1.0
1.6364744,16.0,67.0,-27.0,-3.0,19.0,3.0
1.6464744,17.0,61.0,-32.0,-1.0,13.0,-1.0
1.6564744,17.0,61.0,-32.0,-1.0,13.0,-1.0
1.6664743,17.0,61.0,-32.0,-1.0,13.0,-1.0
1.6797824,17.0,61.0,-32.0,-1.0,13.0,-1.0
1.6852465,18.0,64.0,-29.0,1.0,16.0,2.0
1.6952465,18.0,60.0,-29.0,1.0,13.0,3.0
1.7089404,18.0,60.0,-29.0,1.0,13.0,3.0
1.7259943,18.0,60.0,-29.0,1.0,15.0,4.0
